|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  296 |  1.804728 |   192.168.0.0 | 20.189.173.11 | TLSv1.2 |  177 | Application Data                                                                                                        |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  297 |  1.804866 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=124 Ack=1 Win=515 Len=1440                                                                      |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  298 |  1.804866 |   192.168.0.0 | 20.189.173.11 | TCP     |  661 | 59890  >  443 [PSH, ACK] Seq=1564 Ack=1 Win=515 Len=607 [TCP segment of a reassembled PDU]                              |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  306 |  1.823584 |   192.168.0.0 | 20.189.173.11 | TLSv1.2 |   89 | Application Data                                                                                                        |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  443 |  2.329867 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | 443  >  59890 [ACK] Seq=1 Ack=1 Win=16385 Len=0 SLE=124 SRE=1564                                                        |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  444 |  2.329867 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 443#1] 443  >  59890 [ACK] Seq=1 Ack=1 Win=16385 Len=0 SLE=124 SRE=2171                                    |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  445 |  2.329867 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 443#2] 443  >  59890 [ACK] Seq=1 Ack=1 Win=16385 Len=0 SLE=124 SRE=2206                                    |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  446 |  2.329914 |   192.168.0.0 | 20.189.173.11 | TLSv1.2 | 1494 | [TCP Fast Retransmission] , Application Data                                                                            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
|  589 |  2.587176 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | 443  >  59890 [ACK] Seq=1 Ack=2206 Win=16385 Len=0 SLE=124 SRE=1441                                                     |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1115 |  4.317124 |   192.168.0.0 | 20.189.173.11 | TLSv1.2 |  193 | Application Data                                                                                                        |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1116 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=2345 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                  |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1117 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=3785 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                  |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1118 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=5225 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                  |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1119 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=6665 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                  |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1120 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=8105 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                  |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1121 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=9545 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                  |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1122 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=10985 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1123 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=12425 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1124 |  4.317218 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=13865 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1220 |  4.825152 | 20.189.173.11 |   192.168.0.0 | TCP     |   60 | 443  >  59890 [ACK] Seq=1 Ack=8105 Win=16379 Len=0                                                                      |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1222 |  4.825225 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=15305 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1223 |  4.825225 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=16745 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1224 |  4.825225 |   192.168.0.0 | 20.189.173.11 | TLSv1.2 | 1494 | Application Data                                                                                                        |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1225 |  4.825225 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=19625 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1226 |  4.825225 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=21065 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1288 |  5.107233 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1220#1] 443  >  59890 [ACK] Seq=1 Ack=8105 Win=16379 Len=0 SLE=10985 SRE=12425                             |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1289 |  5.107280 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=22505 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1299 |  5.121573 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | [TCP Retransmission] 59890  >  443 [ACK] Seq=8105 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]             |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1300 |  5.121587 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | [TCP Retransmission] 59890  >  443 [ACK] Seq=9545 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]             |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1321 |  5.140630 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1220#2] 443  >  59890 [ACK] Seq=1 Ack=8105 Win=16379 Len=0 SLE=10985 SRE=13865                             |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1322 |  5.140630 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1220#3] 443  >  59890 [ACK] Seq=1 Ack=8105 Win=16379 Len=0 SLE=10985 SRE=15305                             |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1323 |  5.140666 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=23945 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1324 |  5.140713 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=25385 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1345 |  5.244968 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1220#4] 443  >  59890 [ACK] Seq=1 Ack=8105 Win=16379 Len=0 SLE=10985 SRE=16745                             |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1346 |  5.244968 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1220#5] 443  >  59890 [ACK] Seq=1 Ack=8105 Win=16379 Len=0 SLE=10985 SRE=18185                             |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1347 |  5.245018 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=26825 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1348 |  5.245062 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=28265 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
