|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3307 | 15.639370 |    192.168.0.0 | 104.46.162.224 | TCP     |   66 | 61154  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM                           |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3357 | 15.786952 | 104.46.162.224 |    192.168.0.0 | TCP     |   66 | 443  >  61154 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM                |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3358 | 15.787018 |    192.168.0.0 | 104.46.162.224 | TCP     |   54 | 61154  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3359 | 15.787455 |    192.168.0.0 | 104.46.162.224 | TLSv1.3 |  734 | Client Hello (SNI=browser.events.data.microsoft.com)                                          |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3360 | 15.789955 | 104.46.162.224 |    192.168.0.0 | TCP     |   60 | 443  >  61154 [ACK] Seq=1 Ack=681 Win=65536 Len=0                                             |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3388 | 15.946738 | 104.46.162.224 |    192.168.0.0 | TLSv1.3 |  153 | Hello Retry Request, Change Cipher Spec                                                       |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3389 | 15.947703 |    192.168.0.0 | 104.46.162.224 | TLSv1.3 |  800 | Change Cipher Spec, Client Hello (SNI=browser.events.data.microsoft.com)                      |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3435 | 16.113702 | 104.46.162.224 |    192.168.0.0 | TLSv1.3 | 1514 | Server Hello                                                                                  |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3436 | 16.113702 | 104.46.162.224 |    192.168.0.0 | TCP     | 1514 | 443  >  61154 [ACK] Seq=1560 Ack=1427 Win=4193024 Len=1460 [TCP segment of a reassembled PDU] |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3437 | 16.113702 | 104.46.162.224 |    192.168.0.0 | TCP     | 1514 | 443  >  61154 [ACK] Seq=3020 Ack=1427 Win=4193024 Len=1460 [TCP segment of a reassembled PDU] |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3438 | 16.113702 | 104.46.162.224 |    192.168.0.0 | TCP     | 1514 | 443  >  61154 [ACK] Seq=4480 Ack=1427 Win=4193024 Len=1460 [TCP segment of a reassembled PDU] |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3439 | 16.113702 | 104.46.162.224 |    192.168.0.0 | TLSv1.3 |  546 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3440 | 16.113780 |    192.168.0.0 | 104.46.162.224 | TCP     |   54 | 61154  >  443 [ACK] Seq=1427 Ack=6432 Win=132352 Len=0                                        |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3441 | 16.116020 |    192.168.0.0 | 104.46.162.224 | TLSv1.3 |  128 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3442 | 16.116179 |    192.168.0.0 | 104.46.162.224 | TLSv1.3 |  146 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3443 | 16.116370 |    192.168.0.0 | 104.46.162.224 | TLSv1.3 |  526 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3444 | 16.116428 |    192.168.0.0 | 104.46.162.224 | TLSv1.3 |  165 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3475 | 16.265993 | 104.46.162.224 |    192.168.0.0 | TCP     |   60 | 443  >  61154 [ACK] Seq=6432 Ack=1593 Win=4194560 Len=0                                       |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3476 | 16.265993 | 104.46.162.224 |    192.168.0.0 | TCP     |   60 | 443  >  61154 [ACK] Seq=6432 Ack=2176 Win=4193792 Len=0                                       |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3484 | 16.294715 | 104.46.162.224 |    192.168.0.0 | TLSv1.3 |  157 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3485 | 16.302282 | 104.46.162.224 |    192.168.0.0 | TLSv1.3 |  116 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3486 | 16.302321 |    192.168.0.0 | 104.46.162.224 | TCP     |   54 | 61154  >  443 [ACK] Seq=2176 Ack=6597 Win=132096 Len=0                                        |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3487 | 16.302434 |    192.168.0.0 | 104.46.162.224 | TLSv1.3 |   85 | Application Data                                                                              |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3525 | 16.449140 | 104.46.162.224 |    192.168.0.0 | TLSv1.3 |  549 | Application Data, Application Data, Application Data                                          |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
| 3527 | 16.492617 |    192.168.0.0 | 104.46.162.224 | TCP     |   54 | 61154  >  443 [ACK] Seq=2207 Ack=7092 Win=131584 Len=0                                        |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |           |                |                |         |      | Avg. Throughput: 26.556                                                                       |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |           |                |                |         |      | RTT : 0.166 sec                                                                               |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |           |                |                |         |      | Avg. Packet Size : 427.56                                                                     |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |           |                |                |         |      | Packet Loss Percentage : 4.0                                                                  |
|------|-----------|----------------|----------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |           |                |                |         |      | No. of TCP Packets : 12                                                                       |
