
PING github.com (20.207.73.82) 56(84) bytes of data.
64 bytes from 20.207.73.82: icmp_seq=1 ttl=113 time=8.29 ms
64 bytes from 20.207.73.82: icmp_seq=2 ttl=113 time=13.6 ms
64 bytes from 20.207.73.82: icmp_seq=3 ttl=113 time=8.97 ms
64 bytes from 20.207.73.82: icmp_seq=4 ttl=113 time=20.6 ms
64 bytes from 20.207.73.82: icmp_seq=5 ttl=113 time=11.5 ms
64 bytes from 20.207.73.82: icmp_seq=6 ttl=113 time=17.5 ms
64 bytes from 20.207.73.82: icmp_seq=7 ttl=113 time=10.1 ms
64 bytes from 20.207.73.82: icmp_seq=8 ttl=113 time=13.0 ms
64 bytes from 20.207.73.82: icmp_seq=9 ttl=113 time=10.4 ms
64 bytes from 20.207.73.82: icmp_seq=10 ttl=113 time=11.9 ms
64 bytes from 20.207.73.82: icmp_seq=11 ttl=113 time=10.5 ms
64 bytes from 20.207.73.82: icmp_seq=12 ttl=113 time=24.9 ms
64 bytes from 20.207.73.82: icmp_seq=13 ttl=113 time=8.86 ms
64 bytes from 20.207.73.82: icmp_seq=14 ttl=113 time=12.1 ms
64 bytes from 20.207.73.82: icmp_seq=15 ttl=113 time=48.9 ms
64 bytes from 20.207.73.82: icmp_seq=16 ttl=113 time=15.6 ms
64 bytes from 20.207.73.82: icmp_seq=17 ttl=113 time=22.0 ms
64 bytes from 20.207.73.82: icmp_seq=18 ttl=113 time=162 ms
64 bytes from 20.207.73.82: icmp_seq=20 ttl=113 time=785 ms
64 bytes from 20.207.73.82: icmp_seq=21 ttl=113 time=575 ms
64 bytes from 20.207.73.82: icmp_seq=22 ttl=113 time=375 ms
64 bytes from 20.207.73.82: icmp_seq=23 ttl=113 time=165 ms
64 bytes from 20.207.73.82: icmp_seq=25 ttl=113 time=137 ms
64 bytes from 20.207.73.82: icmp_seq=26 ttl=113 time=144 ms
64 bytes from 20.207.73.82: icmp_seq=27 ttl=113 time=158 ms
64 bytes from 20.207.73.82: icmp_seq=31 ttl=113 time=327 ms
64 bytes from 20.207.73.82: icmp_seq=32 ttl=113 time=123 ms
64 bytes from 20.207.73.82: icmp_seq=33 ttl=113 time=122 ms
64 bytes from 20.207.73.82: icmp_seq=34 ttl=113 time=113 ms
64 bytes from 20.207.73.82: icmp_seq=35 ttl=113 time=53.9 ms
64 bytes from 20.207.73.82: icmp_seq=36 ttl=113 time=20.5 ms
64 bytes from 20.207.73.82: icmp_seq=37 ttl=113 time=18.9 ms
64 bytes from 20.207.73.82: icmp_seq=38 ttl=113 time=39.2 ms
64 bytes from 20.207.73.82: icmp_seq=39 ttl=113 time=74.4 ms
64 bytes from 20.207.73.82: icmp_seq=40 ttl=113 time=22.8 ms
64 bytes from 20.207.73.82: icmp_seq=41 ttl=113 time=217 ms
64 bytes from 20.207.73.82: icmp_seq=42 ttl=113 time=47.3 ms
64 bytes from 20.207.73.82: icmp_seq=43 ttl=113 time=8.95 ms
64 bytes from 20.207.73.82: icmp_seq=44 ttl=113 time=34.7 ms
64 bytes from 20.207.73.82: icmp_seq=45 ttl=113 time=12.5 ms
64 bytes from 20.207.73.82: icmp_seq=46 ttl=113 time=19.4 ms
64 bytes from 20.207.73.82: icmp_seq=47 ttl=113 time=15.4 ms
64 bytes from 20.207.73.82: icmp_seq=48 ttl=113 time=99.2 ms
64 bytes from 20.207.73.82: icmp_seq=49 ttl=113 time=1792 ms
64 bytes from 20.207.73.82: icmp_seq=50 ttl=113 time=1588 ms
64 bytes from 20.207.73.82: icmp_seq=51 ttl=113 time=1377 ms
64 bytes from 20.207.73.82: icmp_seq=52 ttl=113 time=1168 ms
64 bytes from 20.207.73.82: icmp_seq=53 ttl=113 time=957 ms
64 bytes from 20.207.73.82: icmp_seq=54 ttl=113 time=748 ms
64 bytes from 20.207.73.82: icmp_seq=55 ttl=113 time=537 ms
64 bytes from 20.207.73.82: icmp_seq=56 ttl=113 time=327 ms
64 bytes from 20.207.73.82: icmp_seq=57 ttl=113 time=118 ms
64 bytes from 20.207.73.82: icmp_seq=58 ttl=113 time=1685 ms
64 bytes from 20.207.73.82: icmp_seq=59 ttl=113 time=1482 ms
64 bytes from 20.207.73.82: icmp_seq=60 ttl=113 time=1272 ms
64 bytes from 20.207.73.82: icmp_seq=61 ttl=113 time=1062 ms
64 bytes from 20.207.73.82: icmp_seq=62 ttl=113 time=853 ms
64 bytes from 20.207.73.82: icmp_seq=63 ttl=113 time=643 ms
64 bytes from 20.207.73.82: icmp_seq=64 ttl=113 time=433 ms
64 bytes from 20.207.73.82: icmp_seq=65 ttl=113 time=411 ms
64 bytes from 20.207.73.82: icmp_seq=66 ttl=113 time=209 ms
64 bytes from 20.207.73.82: icmp_seq=67 ttl=113 time=8.18 ms
64 bytes from 20.207.73.82: icmp_seq=68 ttl=113 time=18.5 ms
64 bytes from 20.207.73.82: icmp_seq=69 ttl=113 time=10.8 ms
64 bytes from 20.207.73.82: icmp_seq=70 ttl=113 time=66.0 ms
64 bytes from 20.207.73.82: icmp_seq=71 ttl=113 time=18.5 ms
64 bytes from 20.207.73.82: icmp_seq=72 ttl=113 time=21.0 ms
64 bytes from 20.207.73.82: icmp_seq=73 ttl=113 time=60.6 ms
64 bytes from 20.207.73.82: icmp_seq=74 ttl=113 time=54.3 ms
64 bytes from 20.207.73.82: icmp_seq=75 ttl=113 time=148 ms
64 bytes from 20.207.73.82: icmp_seq=76 ttl=113 time=78.6 ms
64 bytes from 20.207.73.82: icmp_seq=77 ttl=113 time=47.8 ms
64 bytes from 20.207.73.82: icmp_seq=78 ttl=113 time=35.4 ms
64 bytes from 20.207.73.82: icmp_seq=79 ttl=113 time=21.3 ms
64 bytes from 20.207.73.82: icmp_seq=80 ttl=113 time=32.0 ms
64 bytes from 20.207.73.82: icmp_seq=81 ttl=113 time=65.7 ms
64 bytes from 20.207.73.82: icmp_seq=82 ttl=113 time=19.0 ms
64 bytes from 20.207.73.82: icmp_seq=83 ttl=113 time=38.7 ms
64 bytes from 20.207.73.82: icmp_seq=84 ttl=113 time=259 ms
64 bytes from 20.207.73.82: icmp_seq=85 ttl=113 time=53.5 ms
64 bytes from 20.207.73.82: icmp_seq=86 ttl=113 time=8.96 ms
64 bytes from 20.207.73.82: icmp_seq=87 ttl=113 time=19.0 ms
64 bytes from 20.207.73.82: icmp_seq=88 ttl=113 time=267 ms
64 bytes from 20.207.73.82: icmp_seq=89 ttl=113 time=261 ms
64 bytes from 20.207.73.82: icmp_seq=90 ttl=113 time=60.7 ms
64 bytes from 20.207.73.82: icmp_seq=91 ttl=113 time=134 ms
64 bytes from 20.207.73.82: icmp_seq=92 ttl=113 time=11.8 ms
64 bytes from 20.207.73.82: icmp_seq=93 ttl=113 time=289 ms
64 bytes from 20.207.73.82: icmp_seq=94 ttl=113 time=82.2 ms
64 bytes from 20.207.73.82: icmp_seq=95 ttl=113 time=14.8 ms
64 bytes from 20.207.73.82: icmp_seq=96 ttl=113 time=13.5 ms
64 bytes from 20.207.73.82: icmp_seq=97 ttl=113 time=155 ms
64 bytes from 20.207.73.82: icmp_seq=98 ttl=113 time=149 ms
64 bytes from 20.207.73.82: icmp_seq=99 ttl=113 time=170 ms
64 bytes from 20.207.73.82: icmp_seq=100 ttl=113 time=136 ms
64 bytes from 20.207.73.82: icmp_seq=101 ttl=113 time=130 ms
64 bytes from 20.207.73.82: icmp_seq=102 ttl=113 time=143 ms
64 bytes from 20.207.73.82: icmp_seq=104 ttl=113 time=150 ms
64 bytes from 20.207.73.82: icmp_seq=105 ttl=113 time=179 ms
64 bytes from 20.207.73.82: icmp_seq=107 ttl=113 time=595 ms
64 bytes from 20.207.73.82: icmp_seq=109 ttl=113 time=566 ms
64 bytes from 20.207.73.82: icmp_seq=110 ttl=113 time=367 ms
64 bytes from 20.207.73.82: icmp_seq=113 ttl=113 time=373 ms
64 bytes from 20.207.73.82: icmp_seq=115 ttl=113 time=387 ms
64 bytes from 20.207.73.82: icmp_seq=116 ttl=113 time=186 ms
64 bytes from 20.207.73.82: icmp_seq=117 ttl=113 time=11.6 ms
64 bytes from 20.207.73.82: icmp_seq=118 ttl=113 time=10.9 ms
64 bytes from 20.207.73.82: icmp_seq=119 ttl=113 time=25.4 ms
64 bytes from 20.207.73.82: icmp_seq=120 ttl=113 time=16.0 ms
64 bytes from 20.207.73.82: icmp_seq=121 ttl=113 time=78.6 ms
64 bytes from 20.207.73.82: icmp_seq=122 ttl=113 time=67.7 ms
64 bytes from 20.207.73.82: icmp_seq=123 ttl=113 time=10.2 ms
64 bytes from 20.207.73.82: icmp_seq=124 ttl=113 time=12.9 ms
64 bytes from 20.207.73.82: icmp_seq=125 ttl=113 time=15.9 ms
64 bytes from 20.207.73.82: icmp_seq=126 ttl=113 time=13.7 ms
64 bytes from 20.207.73.82: icmp_seq=127 ttl=113 time=15.0 ms
64 bytes from 20.207.73.82: icmp_seq=128 ttl=113 time=19.8 ms
64 bytes from 20.207.73.82: icmp_seq=129 ttl=113 time=36.4 ms
64 bytes from 20.207.73.82: icmp_seq=130 ttl=113 time=11.6 ms
64 bytes from 20.207.73.82: icmp_seq=131 ttl=113 time=10.6 ms
64 bytes from 20.207.73.82: icmp_seq=132 ttl=113 time=8.12 ms
64 bytes from 20.207.73.82: icmp_seq=133 ttl=113 time=10.1 ms
64 bytes from 20.207.73.82: icmp_seq=134 ttl=113 time=11.9 ms
64 bytes from 20.207.73.82: icmp_seq=135 ttl=113 time=34.7 ms
64 bytes from 20.207.73.82: icmp_seq=136 ttl=113 time=9.05 ms
64 bytes from 20.207.73.82: icmp_seq=137 ttl=113 time=12.5 ms
64 bytes from 20.207.73.82: icmp_seq=138 ttl=113 time=17.2 ms
64 bytes from 20.207.73.82: icmp_seq=139 ttl=113 time=25.4 ms
64 bytes from 20.207.73.82: icmp_seq=140 ttl=113 time=15.8 ms
64 bytes from 20.207.73.82: icmp_seq=141 ttl=113 time=18.8 ms
64 bytes from 20.207.73.82: icmp_seq=142 ttl=113 time=86.9 ms
64 bytes from 20.207.73.82: icmp_seq=143 ttl=113 time=19.1 ms
64 bytes from 20.207.73.82: icmp_seq=144 ttl=113 time=9.29 ms
64 bytes from 20.207.73.82: icmp_seq=145 ttl=113 time=8.69 ms
64 bytes from 20.207.73.82: icmp_seq=146 ttl=113 time=19.2 ms
64 bytes from 20.207.73.82: icmp_seq=147 ttl=113 time=18.7 ms
64 bytes from 20.207.73.82: icmp_seq=148 ttl=113 time=9.61 ms
64 bytes from 20.207.73.82: icmp_seq=149 ttl=113 time=15.4 ms
64 bytes from 20.207.73.82: icmp_seq=150 ttl=113 time=8.40 ms
64 bytes from 20.207.73.82: icmp_seq=151 ttl=113 time=9.25 ms
64 bytes from 20.207.73.82: icmp_seq=152 ttl=113 time=25.3 ms
64 bytes from 20.207.73.82: icmp_seq=153 ttl=113 time=14.8 ms
64 bytes from 20.207.73.82: icmp_seq=154 ttl=113 time=12.0 ms
64 bytes from 20.207.73.82: icmp_seq=155 ttl=113 time=15.0 ms
64 bytes from 20.207.73.82: icmp_seq=156 ttl=113 time=11.1 ms
64 bytes from 20.207.73.82: icmp_seq=157 ttl=113 time=24.9 ms
64 bytes from 20.207.73.82: icmp_seq=158 ttl=113 time=14.3 ms
64 bytes from 20.207.73.82: icmp_seq=159 ttl=113 time=8.02 ms
64 bytes from 20.207.73.82: icmp_seq=160 ttl=113 time=11.6 ms
64 bytes from 20.207.73.82: icmp_seq=161 ttl=113 time=14.6 ms
64 bytes from 20.207.73.82: icmp_seq=163 ttl=113 time=8.27 ms
64 bytes from 20.207.73.82: icmp_seq=164 ttl=113 time=19.4 ms
64 bytes from 20.207.73.82: icmp_seq=165 ttl=113 time=30.2 ms
64 bytes from 20.207.73.82: icmp_seq=166 ttl=113 time=15.3 ms
64 bytes from 20.207.73.82: icmp_seq=167 ttl=113 time=18.9 ms
64 bytes from 20.207.73.82: icmp_seq=168 ttl=113 time=27.7 ms
64 bytes from 20.207.73.82: icmp_seq=169 ttl=113 time=28.7 ms
64 bytes from 20.207.73.82: icmp_seq=170 ttl=113 time=13.9 ms
64 bytes from 20.207.73.82: icmp_seq=171 ttl=113 time=10.6 ms
64 bytes from 20.207.73.82: icmp_seq=172 ttl=113 time=14.9 ms
64 bytes from 20.207.73.82: icmp_seq=173 ttl=113 time=40.5 ms
64 bytes from 20.207.73.82: icmp_seq=174 ttl=113 time=15.6 ms
64 bytes from 20.207.73.82: icmp_seq=175 ttl=113 time=8.94 ms
64 bytes from 20.207.73.82: icmp_seq=176 ttl=113 time=11.7 ms
64 bytes from 20.207.73.82: icmp_seq=177 ttl=113 time=12.7 ms
64 bytes from 20.207.73.82: icmp_seq=178 ttl=113 time=11.9 ms
64 bytes from 20.207.73.82: icmp_seq=179 ttl=113 time=19.6 ms
64 bytes from 20.207.73.82: icmp_seq=180 ttl=113 time=18.7 ms
64 bytes from 20.207.73.82: icmp_seq=181 ttl=113 time=24.2 ms
64 bytes from 20.207.73.82: icmp_seq=182 ttl=113 time=14.3 ms
64 bytes from 20.207.73.82: icmp_seq=183 ttl=113 time=16.3 ms
64 bytes from 20.207.73.82: icmp_seq=184 ttl=113 time=20.7 ms
64 bytes from 20.207.73.82: icmp_seq=185 ttl=113 time=13.6 ms
64 bytes from 20.207.73.82: icmp_seq=186 ttl=113 time=16.6 ms
64 bytes from 20.207.73.82: icmp_seq=188 ttl=113 time=500 ms
64 bytes from 20.207.73.82: icmp_seq=189 ttl=113 time=290 ms
64 bytes from 20.207.73.82: icmp_seq=190 ttl=113 time=292 ms
64 bytes from 20.207.73.82: icmp_seq=191 ttl=113 time=1184 ms
64 bytes from 20.207.73.82: icmp_seq=192 ttl=113 time=984 ms
64 bytes from 20.207.73.82: icmp_seq=194 ttl=113 time=1361 ms
64 bytes from 20.207.73.82: icmp_seq=195 ttl=113 time=1151 ms
64 bytes from 20.207.73.82: icmp_seq=196 ttl=113 time=941 ms
64 bytes from 20.207.73.82: icmp_seq=197 ttl=113 time=740 ms
64 bytes from 20.207.73.82: icmp_seq=198 ttl=113 time=531 ms
64 bytes from 20.207.73.82: icmp_seq=200 ttl=113 time=296 ms
64 bytes from 20.207.73.82: icmp_seq=201 ttl=113 time=230 ms
64 bytes from 20.207.73.82: icmp_seq=202 ttl=113 time=42.7 ms
64 bytes from 20.207.73.82: icmp_seq=203 ttl=113 time=31.6 ms
64 bytes from 20.207.73.82: icmp_seq=204 ttl=113 time=48.3 ms
64 bytes from 20.207.73.82: icmp_seq=205 ttl=113 time=1337 ms
64 bytes from 20.207.73.82: icmp_seq=206 ttl=113 time=1132 ms
64 bytes from 20.207.73.82: icmp_seq=207 ttl=113 time=922 ms
64 bytes from 20.207.73.82: icmp_seq=208 ttl=113 time=712 ms
64 bytes from 20.207.73.82: icmp_seq=209 ttl=113 time=1272 ms
64 bytes from 20.207.73.82: icmp_seq=210 ttl=113 time=1062 ms
64 bytes from 20.207.73.82: icmp_seq=211 ttl=113 time=852 ms
64 bytes from 20.207.73.82: icmp_seq=212 ttl=113 time=651 ms
64 bytes from 20.207.73.82: icmp_seq=213 ttl=113 time=442 ms
64 bytes from 20.207.73.82: icmp_seq=214 ttl=113 time=232 ms
64 bytes from 20.207.73.82: icmp_seq=215 ttl=113 time=23.1 ms
64 bytes from 20.207.73.82: icmp_seq=216 ttl=113 time=52.9 ms
64 bytes from 20.207.73.82: icmp_seq=217 ttl=113 time=61.0 ms
64 bytes from 20.207.73.82: icmp_seq=218 ttl=113 time=85.3 ms
64 bytes from 20.207.73.82: icmp_seq=222 ttl=113 time=531 ms
64 bytes from 20.207.73.82: icmp_seq=223 ttl=113 time=321 ms
64 bytes from 20.207.73.82: icmp_seq=225 ttl=113 time=24.9 ms
64 bytes from 20.207.73.82: icmp_seq=226 ttl=113 time=8.58 ms
64 bytes from 20.207.73.82: icmp_seq=227 ttl=113 time=12.8 ms
64 bytes from 20.207.73.82: icmp_seq=228 ttl=113 time=8.54 ms
64 bytes from 20.207.73.82: icmp_seq=229 ttl=113 time=8.19 ms
64 bytes from 20.207.73.82: icmp_seq=230 ttl=113 time=9.25 ms
64 bytes from 20.207.73.82: icmp_seq=231 ttl=113 time=12.3 ms
64 bytes from 20.207.73.82: icmp_seq=232 ttl=113 time=8.33 ms
64 bytes from 20.207.73.82: icmp_seq=233 ttl=113 time=26.6 ms
64 bytes from 20.207.73.82: icmp_seq=234 ttl=113 time=8.47 ms
64 bytes from 20.207.73.82: icmp_seq=235 ttl=113 time=10.1 ms
64 bytes from 20.207.73.82: icmp_seq=236 ttl=113 time=21.4 ms
64 bytes from 20.207.73.82: icmp_seq=237 ttl=113 time=8.61 ms
64 bytes from 20.207.73.82: icmp_seq=238 ttl=113 time=8.46 ms
64 bytes from 20.207.73.82: icmp_seq=239 ttl=113 time=10.5 ms
64 bytes from 20.207.73.82: icmp_seq=240 ttl=113 time=10.2 ms
64 bytes from 20.207.73.82: icmp_seq=241 ttl=113 time=8.87 ms
64 bytes from 20.207.73.82: icmp_seq=242 ttl=113 time=13.7 ms
64 bytes from 20.207.73.82: icmp_seq=243 ttl=113 time=8.55 ms
64 bytes from 20.207.73.82: icmp_seq=244 ttl=113 time=9.54 ms
64 bytes from 20.207.73.82: icmp_seq=245 ttl=113 time=10.6 ms
64 bytes from 20.207.73.82: icmp_seq=246 ttl=113 time=9.15 ms
64 bytes from 20.207.73.82: icmp_seq=247 ttl=113 time=8.93 ms
64 bytes from 20.207.73.82: icmp_seq=248 ttl=113 time=8.76 ms
64 bytes from 20.207.73.82: icmp_seq=249 ttl=113 time=18.3 ms
64 bytes from 20.207.73.82: icmp_seq=250 ttl=113 time=8.67 ms
64 bytes from 20.207.73.82: icmp_seq=251 ttl=113 time=9.21 ms
64 bytes from 20.207.73.82: icmp_seq=252 ttl=113 time=8.44 ms
64 bytes from 20.207.73.82: icmp_seq=253 ttl=113 time=8.85 ms
64 bytes from 20.207.73.82: icmp_seq=254 ttl=113 time=12.9 ms
64 bytes from 20.207.73.82: icmp_seq=255 ttl=113 time=9.70 ms
64 bytes from 20.207.73.82: icmp_seq=256 ttl=113 time=8.44 ms
64 bytes from 20.207.73.82: icmp_seq=257 ttl=113 time=19.9 ms
64 bytes from 20.207.73.82: icmp_seq=258 ttl=113 time=9.88 ms
64 bytes from 20.207.73.82: icmp_seq=259 ttl=113 time=9.23 ms
64 bytes from 20.207.73.82: icmp_seq=261 ttl=113 time=10.1 ms
64 bytes from 20.207.73.82: icmp_seq=262 ttl=113 time=8.42 ms
64 bytes from 20.207.73.82: icmp_seq=263 ttl=113 time=22.6 ms
64 bytes from 20.207.73.82: icmp_seq=264 ttl=113 time=14.2 ms
64 bytes from 20.207.73.82: icmp_seq=265 ttl=113 time=25.3 ms
64 bytes from 20.207.73.82: icmp_seq=266 ttl=113 time=8.65 ms
64 bytes from 20.207.73.82: icmp_seq=268 ttl=113 time=9.35 ms
64 bytes from 20.207.73.82: icmp_seq=269 ttl=113 time=10.1 ms
64 bytes from 20.207.73.82: icmp_seq=270 ttl=113 time=19.5 ms
64 bytes from 20.207.73.82: icmp_seq=271 ttl=113 time=8.92 ms
64 bytes from 20.207.73.82: icmp_seq=272 ttl=113 time=9.66 ms
64 bytes from 20.207.73.82: icmp_seq=273 ttl=113 time=8.31 ms
64 bytes from 20.207.73.82: icmp_seq=274 ttl=113 time=128 ms
64 bytes from 20.207.73.82: icmp_seq=275 ttl=113 time=19.2 ms
64 bytes from 20.207.73.82: icmp_seq=276 ttl=113 time=8.24 ms
64 bytes from 20.207.73.82: icmp_seq=277 ttl=113 time=152 ms
64 bytes from 20.207.73.82: icmp_seq=278 ttl=113 time=156 ms
64 bytes from 20.207.73.82: icmp_seq=279 ttl=113 time=132 ms
64 bytes from 20.207.73.82: icmp_seq=281 ttl=113 time=161 ms
64 bytes from 20.207.73.82: icmp_seq=282 ttl=113 time=8.04 ms
64 bytes from 20.207.73.82: icmp_seq=283 ttl=113 time=227 ms
64 bytes from 20.207.73.82: icmp_seq=285 ttl=113 time=634 ms
64 bytes from 20.207.73.82: icmp_seq=286 ttl=113 time=424 ms
64 bytes from 20.207.73.82: icmp_seq=287 ttl=113 time=214 ms
64 bytes from 20.207.73.82: icmp_seq=288 ttl=113 time=10.8 ms
64 bytes from 20.207.73.82: icmp_seq=289 ttl=113 time=8.77 ms
64 bytes from 20.207.73.82: icmp_seq=290 ttl=113 time=12.3 ms
64 bytes from 20.207.73.82: icmp_seq=291 ttl=113 time=45.9 ms
64 bytes from 20.207.73.82: icmp_seq=292 ttl=113 time=12.9 ms
64 bytes from 20.207.73.82: icmp_seq=293 ttl=113 time=8.81 ms
64 bytes from 20.207.73.82: icmp_seq=294 ttl=113 time=12.9 ms
64 bytes from 20.207.73.82: icmp_seq=295 ttl=113 time=9.69 ms
64 bytes from 20.207.73.82: icmp_seq=296 ttl=113 time=9.15 ms
64 bytes from 20.207.73.82: icmp_seq=298 ttl=113 time=8.80 ms
64 bytes from 20.207.73.82: icmp_seq=299 ttl=113 time=8.48 ms
64 bytes from 20.207.73.82: icmp_seq=300 ttl=113 time=12.3 ms
64 bytes from 20.207.73.82: icmp_seq=301 ttl=113 time=12.1 ms
64 bytes from 20.207.73.82: icmp_seq=302 ttl=113 time=13.2 ms
64 bytes from 20.207.73.82: icmp_seq=303 ttl=113 time=11.6 ms
64 bytes from 20.207.73.82: icmp_seq=304 ttl=113 time=15.8 ms
64 bytes from 20.207.73.82: icmp_seq=305 ttl=113 time=9.21 ms
64 bytes from 20.207.73.82: icmp_seq=306 ttl=113 time=365 ms
64 bytes from 20.207.73.82: icmp_seq=307 ttl=113 time=328 ms
64 bytes from 20.207.73.82: icmp_seq=308 ttl=113 time=310 ms
64 bytes from 20.207.73.82: icmp_seq=310 ttl=113 time=502 ms
64 bytes from 20.207.73.82: icmp_seq=311 ttl=113 time=294 ms
64 bytes from 20.207.73.82: icmp_seq=312 ttl=113 time=96.1 ms
64 bytes from 20.207.73.82: icmp_seq=313 ttl=113 time=113 ms
64 bytes from 20.207.73.82: icmp_seq=314 ttl=113 time=106 ms
64 bytes from 20.207.73.82: icmp_seq=315 ttl=113 time=129 ms
64 bytes from 20.207.73.82: icmp_seq=316 ttl=113 time=121 ms
64 bytes from 20.207.73.82: icmp_seq=317 ttl=113 time=135 ms
64 bytes from 20.207.73.82: icmp_seq=318 ttl=113 time=127 ms
64 bytes from 20.207.73.82: icmp_seq=319 ttl=113 time=111 ms
64 bytes from 20.207.73.82: icmp_seq=320 ttl=113 time=105 ms
64 bytes from 20.207.73.82: icmp_seq=321 ttl=113 time=90.0 ms
64 bytes from 20.207.73.82: icmp_seq=322 ttl=113 time=92.2 ms
64 bytes from 20.207.73.82: icmp_seq=323 ttl=113 time=57.2 ms
64 bytes from 20.207.73.82: icmp_seq=324 ttl=113 time=8.52 ms
64 bytes from 20.207.73.82: icmp_seq=325 ttl=113 time=9.87 ms
