|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1051 | 4.684032 |  192.168.0.0 | 20.189.173.4 | TCP     |   66 | 50911  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM                           |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1113 | 4.914004 | 20.189.173.4 |  192.168.0.0 | TCP     |   66 | 443  >  50911 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM                |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1114 | 4.914170 |  192.168.0.0 | 20.189.173.4 | TCP     |   54 | 50911  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1115 | 4.914846 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  702 | Client Hello (SNI=browser.events.data.microsoft.com)                                          |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1118 | 4.918053 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | 443  >  50911 [ACK] Seq=1 Ack=649 Win=65536 Len=0                                             |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1122 | 4.987335 |  192.168.0.0 | 20.189.173.4 | TCP     |   66 | 50913  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM                           |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1182 | 5.137095 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | [TCP Dup ACK 1118#1] 443  >  50911 [ACK] Seq=1 Ack=649 Win=65536 Len=0                        |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1183 | 5.147257 | 20.189.173.4 |  192.168.0.0 | TLSv1.3 |  153 | Hello Retry Request, Change Cipher Spec                                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1184 | 5.148509 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  768 | Change Cipher Spec, Client Hello (SNI=browser.events.data.microsoft.com)                      |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1186 | 5.216177 | 20.189.173.4 |  192.168.0.0 | TCP     |   66 | 443  >  50913 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM                |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1187 | 5.216302 |  192.168.0.0 | 20.189.173.4 | TCP     |   54 | 50913  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1188 | 5.216706 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  734 | Client Hello (SNI=browser.events.data.microsoft.com)                                          |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1189 | 5.218587 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | 443  >  50913 [ACK] Seq=1 Ack=681 Win=65536 Len=0                                             |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1250 | 5.393803 | 20.189.173.4 |  192.168.0.0 | TLSv1.3 | 1514 | Server Hello                                                                                  |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1251 | 5.393803 | 20.189.173.4 |  192.168.0.0 | TCP     | 1514 | 443  >  50911 [ACK] Seq=1560 Ack=1363 Win=4193024 Len=1460 [TCP segment of a reassembled PDU] |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1252 | 5.393803 | 20.189.173.4 |  192.168.0.0 | TCP     | 1514 | 443  >  50911 [ACK] Seq=3020 Ack=1363 Win=4193024 Len=1460 [TCP segment of a reassembled PDU] |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1253 | 5.393803 | 20.189.173.4 |  192.168.0.0 | TCP     | 1514 | 443  >  50911 [ACK] Seq=4480 Ack=1363 Win=4193024 Len=1460 [TCP segment of a reassembled PDU] |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1254 | 5.393803 | 20.189.173.4 |  192.168.0.0 | TLSv1.3 |  543 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1261 | 5.394059 |  192.168.0.0 | 20.189.173.4 | TCP     |   54 | 50911  >  443 [ACK] Seq=1363 Ack=6429 Win=132352 Len=0                                        |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1263 | 5.396134 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  128 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1264 | 5.396497 |  192.168.0.0 | 20.189.173.4 | TCP     |   54 | 50913  >  443 [FIN, ACK] Seq=681 Ack=1 Win=132352 Len=0                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1265 | 5.396693 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  146 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1266 | 5.397760 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  502 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1267 | 5.397847 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  161 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1268 | 5.397942 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |  185 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1269 | 5.402501 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | [TCP Dup ACK 1189#1] 443  >  50913 [ACK] Seq=1 Ack=681 Win=65536 Len=0                        |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1270 | 5.402501 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | 443  >  50913 [ACK] Seq=1 Ack=682 Win=65536 Len=0                                             |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1293 | 5.456156 | 20.189.173.4 |  192.168.0.0 | TLSv1.3 |  153 | Hello Retry Request, Change Cipher Spec                                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1294 | 5.456231 |  192.168.0.0 | 20.189.173.4 | TCP     |   54 | 50913  >  443 [RST, ACK] Seq=682 Ack=100 Win=0 Len=0                                          |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1327 | 5.627778 | 20.189.173.4 |  192.168.0.0 | TLSv1.3 |  157 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1328 | 5.627778 | 20.189.173.4 |  192.168.0.0 | TLSv1.3 |  116 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1329 | 5.627778 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | 443  >  50911 [ACK] Seq=6594 Ack=1529 Win=4194560 Len=0                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1330 | 5.627778 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | 443  >  50911 [ACK] Seq=6594 Ack=1977 Win=4194048 Len=0                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1331 | 5.627887 |  192.168.0.0 | 20.189.173.4 | TCP     |   54 | 50911  >  443 [ACK] Seq=2215 Ack=6594 Win=132096 Len=0                                        |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1332 | 5.628164 |  192.168.0.0 | 20.189.173.4 | TLSv1.3 |   85 | Application Data                                                                              |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1333 | 5.628326 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | 443  >  50911 [ACK] Seq=6594 Ack=2215 Win=4193792 Len=0                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1387 | 5.855408 | 20.189.173.4 |  192.168.0.0 | TLSv1.3 |  626 | Application Data, Application Data, Application Data, Application Data                        |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1460 | 5.903103 |  192.168.0.0 | 20.189.173.4 | TCP     |   54 | 50911  >  443 [ACK] Seq=2246 Ack=7166 Win=131584 Len=0                                        |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
| 1461 | 5.918133 | 20.189.173.4 |  192.168.0.0 | TCP     |   60 | 443  >  50911 [ACK] Seq=7166 Ack=2246 Win=4193792 Len=0                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |          |              |              |         |      | Avg. Throughput: 59.268                                                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |          |              |              |         |      | RTT : 0.177 sec                                                                               |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |          |              |              |         |      | Avg. Packet Size : 317.872                                                                    |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |          |              |              |         |      | Packet Loss Percentage : 7.692                                                                |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |          |              |              |         |      | No. of TCP Packets : 23                                                                       |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |          |              |              |         |      | No. of UDP Packets : 0                                                                        |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
|      |          |              |              |         |      | Avg Response for one packet : 1                                                               |
|------|----------|--------------|--------------|---------|------|-----------------------------------------------------------------------------------------------|
